Time,Ask,Bid,AskVolume,BidVolume
05.11.2012 00:00:42.504,1.28236,1.28229,1.73,1.50
05.11.2012 00:00:42.623,1.28237,1.28229,1.73,2.25
05.11.2012 00:00:42.744,1.28237,1.28229,1.73,2.25
05.11.2012 00:00:42.804,1.28238,1.28229,1.73,3.00
05.11.2012 00:00:42.865,1.28239,1.28231,2.10,1.73
05.11.2012 00:00:43.044,1.28239,1.28231,1.35,2.48
05.11.2012 00:00:46.014,1.28238,1.28230,1.50,2.48
05.11.2012 00:00:48.599,1.28238,1.28230,1.73,1.50
05.11.2012 00:00:48.743,1.28238,1.28229,2.25,4.73
05.11.2012 00:00:48.804,1.28237,1.28229,2.63,2.48
05.11.2012 00:00:48.924,1.28237,1.28230,1.50,2.10
05.11.2012 00:00:49.954,1.28237,1.28231,1.50,1.35
05.11.2012 00:00:50.465,1.28241,1.28232,2.48,1.50
05.11.2012 00:00:50.994,1.28242,1.28232,5.96,2.25
05.11.2012 00:00:53.414,1.28241,1.28232,1.73,1.88
05.11.2012 00:00:54.114,1.28240,1.28232,1.73,1.88
05.11.2012 00:00:58.234,1.28243,1.28236,3.98,1.50
05.11.2012 00:00:58.294,1.28243,1.28236,1.73,1.50
05.11.2012 00:00:58.420,1.28245,1.28237,1.50,1.50
05.11.2012 00:00:58.545,1.28245,1.28240,1.50,1.13
05.11.2012 00:00:59.104,1.28249,1.28241,2.48,1.50
05.11.2012 00:00:59.224,1.28249,1.28240,2.48,1.13
05.11.2012 00:00:59.404,1.28249,1.28240,2.48,1.13
05.11.2012 00:00:59.764,1.28249,1.28242,1.73,1.13
05.11.2012 00:00:59.824,1.28250,1.28242,2.48,1.13
05.11.2012 00:01:00.184,1.28252,1.28242,1.73,1.35
05.11.2012 00:01:00.689,1.28254,1.28243,1.73,1.50
05.11.2012 00:01:01.844,1.28252,1.28243,1.73,1.13
05.11.2012 00:01:02.695,1.28252,1.28244,1.73,1.13
05.11.2012 00:01:02.934,1.28252,1.28245,1.50,1.73
05.11.2012 00:01:03.057,1.28255,1.28247,1.73,1.50
05.11.2012 00:01:03.594,1.28256,1.28247,1.73,1.73
05.11.2012 00:01:04.105,1.28257,1.28249,2.48,1.13
05.11.2012 00:01:06.155,1.28257,1.28249,2.48,2.25
05.11.2012 00:01:06.715,1.28258,1.28250,2.48,1.50
05.11.2012 00:01:07.515,1.28254,1.28249,1.50,2.25
05.11.2012 00:01:07.964,1.28253,1.28249,1.50,1.50
05.11.2012 00:01:08.032,1.28253,1.28245,1.73,1.13
05.11.2012 00:01:08.615,1.28253,1.28243,2.48,2.25
05.11.2012 00:01:09.864,1.28254,1.28245,1.73,3.00
05.11.2012 00:01:10.167,1.28258,1.28250,4.46,1.50
05.11.2012 00:01:10.225,1.28258,1.28250,1.50,1.50
05.11.2012 00:01:10.346,1.28263,1.28251,1.50,1.50
05.11.2012 00:01:11.104,1.28258,1.28250,1.50,3.00
05.11.2012 00:01:12.335,1.28256,1.28250,2.25,1.50
05.11.2012 00:01:15.877,1.28256,1.28247,2.63,2.25
05.11.2012 00:01:17.755,1.28254,1.28246,2.25,1.50
05.11.2012 00:01:18.175,1.28252,1.28244,3.23,2.63
05.11.2012 00:01:18.296,1.28251,1.28244,1.73,1.88
05.11.2012 00:01:18.355,1.28250,1.28244,1.73,1.88
05.11.2012 00:01:19.294,1.28252,1.28244,1.73,1.88
05.11.2012 00:01:19.844,1.28253,1.28244,2.48,1.88
05.11.2012 00:01:20.355,1.28252,1.28244,1.73,1.88
05.11.2012 00:01:20.784,1.28252,1.28244,2.48,1.13
05.11.2012 00:01:27.504,1.28252,1.28244,2.48,1.13
05.11.2012 00:01:29.164,1.28252,1.28244,1.73,1.13
05.11.2012 00:01:30.264,1.28252,1.28243,1.73,2.25
05.11.2012 00:01:32.554,1.28253,1.28245,1.73,1.50
05.11.2012 00:01:34.974,1.28253,1.28244,2.48,1.13
05.11.2012 00:01:38.014,1.28254,1.28246,1.73,2.25
05.11.2012 00:01:39.534,1.28253,1.28245,1.73,1.88
05.11.2012 00:01:47.363,1.28254,1.28245,2.48,1.88
05.11.2012 00:01:51.727,1.28254,1.28245,2.48,1.88
05.11.2012 00:01:54.076,1.28252,1.28245,1.73,1.50
05.11.2012 00:02:01.229,1.28252,1.28245,2.25,1.50
05.11.2012 00:02:01.833,1.28252,1.28245,2.48,1.50
05.11.2012 00:02:07.274,1.28254,1.28246,2.48,1.50
05.11.2012 00:02:07.335,1.28254,1.28247,1.73,1.50
05.11.2012 00:02:07.874,1.28254,1.28246,1.73,2.25
05.11.2012 00:02:08.144,1.28255,1.28246,1.50,2.25
05.11.2012 00:02:08.205,1.28254,1.28246,1.73,2.25
05.11.2012 00:02:08.448,1.28256,1.28248,5.25,1.50
05.11.2012 00:02:08.515,1.28256,1.28248,2.48,1.50
05.11.2012 00:02:09.034,1.28257,1.28249,1.73,1.50
05.11.2012 00:02:10.504,1.28257,1.28249,1.73,1.50
05.11.2012 00:02:10.805,1.28258,1.28253,3.71,1.50
05.11.2012 00:02:11.045,1.28261,1.28253,1.73,2.48
05.11.2012 00:02:12.191,1.28264,1.28256,3.23,1.88
05.11.2012 00:02:12.515,1.28264,1.28256,3.00,1.88
05.11.2012 00:02:16.714,1.28264,1.28256,3.23,1.88
05.11.2012 00:02:18.126,1.28264,1.28256,3.23,1.88
05.11.2012 00:02:22.395,1.28264,1.28256,4.46,2.63
05.11.2012 00:02:22.934,1.28264,1.28254,5.96,1.50
05.11.2012 00:02:24.504,1.28263,1.28254,1.73,1.50
05.11.2012 00:02:24.865,1.28263,1.28254,2.48,2.25
05.11.2012 00:02:25.174,1.28263,1.28254,3.23,1.50
05.11.2012 00:02:25.484,1.28263,1.28254,2.48,1.50
05.11.2012 00:02:25.595,1.28263,1.28254,2.48,1.50
05.11.2012 00:02:27.185,1.28263,1.28254,2.48,1.88
05.11.2012 00:02:32.564,1.28263,1.28254,2.48,1.50
05.11.2012 00:02:32.926,1.28259,1.28251,2.63,2.48
05.11.2012 00:02:33.285,1.28256,1.28248,1.73,3.00
05.11.2012 00:02:33.409,1.28256,1.28248,2.48,2.25
05.11.2012 00:02:33.901,1.28254,1.28245,1.73,1.13
05.11.2012 00:02:42.035,1.28255,1.28245,3.23,1.88
05.11.2012 00:02:42.216,1.28257,1.28250,2.25,1.73
05.11.2012 00:02:42.285,1.28257,1.28250,1.50,1.73
05.11.2012 00:02:42.645,1.28261,1.28255,1.50,1.50
05.11.2012 00:02:42.705,1.28262,1.28255,2.48,1.50
05.11.2012 00:02:42.826,1.28262,1.28257,1.73,1.50
05.11.2012 00:02:43.187,1.28266,1.28258,1.73,3.00
05.11.2012 00:02:44.035,1.28268,1.28260,1.35,2.25
05.11.2012 00:02:44.154,1.28268,1.28261,1.35,1.50
05.11.2012 00:02:44.277,1.28268,1.28261,2.10,1.50
05.11.2012 00:02:50.285,1.28269,1.28260,2.48,1.50
05.11.2012 00:02:50.824,1.28265,1.28256,1.50,1.35
05.11.2012 00:02:51.245,1.28263,1.28254,1.73,1.88
05.11.2012 00:02:51.795,1.28263,1.28254,2.48,1.13
05.11.2012 00:02:53.194,1.28261,1.28254,1.73,1.13
05.11.2012 00:02:55.084,1.28261,1.28252,2.48,2.85
05.11.2012 00:02:58.800,1.28260,1.28252,1.50,2.10
05.11.2012 00:02:58.995,1.28258,1.28250,2.25,3.38
05.11.2012 00:02:59.236,1.28255,1.28249,2.48,1.65
05.11.2012 00:02:59.357,1.28255,1.28247,2.48,1.65
05.11.2012 00:02:59.656,1.28253,1.28246,1.09,1.13
05.11.2012 00:02:59.895,1.28251,1.28242,2.48,2.75
05.11.2012 00:03:00.385,1.28252,1.28244,1.73,1.50
05.11.2012 00:03:00.686,1.28255,1.28248,1.73,1.50
05.11.2012 00:03:00.995,1.28258,1.28250,1.50,3.50
05.11.2012 00:03:01.364,1.28262,1.28252,1.73,2.10
05.11.2012 00:03:02.064,1.28262,1.28252,1.73,2.10
05.11.2012 00:03:02.604,1.28262,1.28252,1.73,2.85
05.11.2012 00:03:04.065,1.28262,1.28252,1.73,2.85
05.11.2012 00:03:04.986,1.28262,1.28252,1.73,2.00
05.11.2012 00:03:05.105,1.28262,1.28252,1.50,2.75
05.11.2012 00:03:05.237,1.28264,1.28255,2.85,1.73
05.11.2012 00:03:05.775,1.28264,1.28255,2.10,1.73
05.11.2012 00:03:06.523,1.28264,1.28255,1.73,1.73
05.11.2012 00:03:08.275,1.28265,1.28257,2.48,1.50
05.11.2012 00:03:08.635,1.28269,1.28262,2.33,1.73
05.11.2012 00:03:08.755,1.28269,1.28262,1.50,1.73
05.11.2012 00:03:08.815,1.28272,1.28262,2.48,2.48
05.11.2012 00:03:09.125,1.28273,1.28266,1.35,1.50
05.11.2012 00:03:09.485,1.28277,1.28270,1.13,1.73
05.11.2012 00:03:09.545,1.28277,1.28272,1.50,1.73
05.11.2012 00:03:09.727,1.28282,1.28274,1.13,1.73
05.11.2012 00:03:09.786,1.28282,1.28274,1.88,1.73
05.11.2012 00:03:10.839,1.28283,1.28274,1.35,1.73
05.11.2012 00:03:11.325,1.28282,1.28272,1.35,1.73
05.11.2012 00:03:12.025,1.28281,1.28271,2.48,1.25
05.11.2012 00:03:13.516,1.28279,1.28270,1.73,2.75
05.11.2012 00:03:13.754,1.28279,1.28270,2.48,2.48
05.11.2012 00:03:15.128,1.28275,1.28268,2.25,2.25
05.11.2012 00:03:15.315,1.28276,1.28267,2.59,1.50
05.11.2012 00:03:15.864,1.28271,1.28265,1.50,1.35
05.11.2012 00:03:15.925,1.28271,1.28265,1.50,1.35
05.11.2012 00:03:16.466,1.28273,1.28266,1.84,2.25
05.11.2012 00:03:16.933,1.28273,1.28265,1.84,1.73
05.11.2012 00:03:17.394,1.28275,1.28267,3.98,1.50
05.11.2012 00:03:18.265,1.28275,1.28267,2.48,1.50
05.11.2012 00:03:18.384,1.28275,1.28267,2.48,1.50
05.11.2012 00:03:22.864,1.28273,1.28264,1.73,2.48
05.11.2012 00:03:29.796,1.28272,1.28263,2.85,2.00
05.11.2012 00:03:30.046,1.28271,1.28262,1.73,2.48
05.11.2012 00:03:30.225,1.28271,1.28261,1.73,1.73
05.11.2012 00:03:35.324,1.28270,1.28262,1.73,1.35
05.11.2012 00:03:35.384,1.28271,1.28262,2.48,1.35
05.11.2012 00:03:36.657,1.28272,1.28264,1.73,1.50
05.11.2012 00:03:36.775,1.28274,1.28265,1.80,1.03
05.11.2012 00:03:37.134,1.28277,1.28272,2.25,3.08
05.11.2012 00:03:37.314,1.28281,1.28271,3.23,3.08
05.11.2012 00:03:37.815,1.28281,1.28271,2.48,3.08
05.11.2012 00:03:38.334,1.28280,1.28271,1.73,3.98
05.11.2012 00:03:40.535,1.28280,1.28271,2.48,1.73
05.11.2012 00:03:40.716,1.28278,1.28270,3.00,1.50
05.11.2012 00:03:40.835,1.28276,1.28269,1.50,1.73
05.11.2012 00:03:41.016,1.28274,1.28268,1.73,1.50
05.11.2012 00:03:41.136,1.28274,1.28266,2.48,1.50
05.11.2012 00:03:41.195,1.28274,1.28265,2.48,1.88
05.11.2012 00:03:41.315,1.28274,1.28265,2.48,2.63
05.11.2012 00:03:41.435,1.28274,1.28266,1.50,1.73
05.11.2012 00:03:41.554,1.28277,1.28267,2.48,1.73
05.11.2012 00:03:42.096,1.28277,1.28266,2.48,2.48
05.11.2012 00:03:44.246,1.28277,1.28269,1.73,1.13
05.11.2012 00:03:44.607,1.28278,1.28272,1.73,3.00
05.11.2012 00:03:45.024,1.28283,1.28274,2.48,1.50
05.11.2012 00:03:45.327,1.28283,1.28274,2.48,1.50
05.11.2012 00:03:48.658,1.28282,1.28274,1.50,3.83
05.11.2012 00:03:49.335,1.28284,1.28274,1.73,4.58
05.11.2012 00:03:49.845,1.28283,1.28274,1.73,4.58
05.11.2012 00:03:52.575,1.28283,1.28274,1.73,5.33
05.11.2012 00:03:53.454,1.28281,1.28274,1.73,1.88
05.11.2012 00:03:53.695,1.28283,1.28276,3.23,1.50
05.11.2012 00:04:01.782,1.28281,1.28273,1.73,2.63
05.11.2012 00:04:03.277,1.28282,1.28277,2.48,2.10
05.11.2012 00:04:03.578,1.28288,1.28282,1.50,5.38
05.11.2012 00:04:04.132,1.28289,1.28284,1.50,1.35
05.11.2012 00:04:04.196,1.28290,1.28284,1.50,2.85
05.11.2012 00:04:04.316,1.28292,1.28284,1.50,2.85
05.11.2012 00:04:04.734,1.28291,1.28284,2.25,1.35
05.11.2012 00:04:04.916,1.28291,1.28282,1.50,4.48
05.11.2012 00:04:06.816,1.28288,1.28282,2.25,3.35
05.11.2012 00:04:06.875,1.28288,1.28278,3.87,2.25
05.11.2012 00:04:06.937,1.28288,1.28279,3.87,1.25
05.11.2012 00:04:07.248,1.28282,1.28275,2.48,1.13
05.11.2012 00:04:07.795,1.28282,1.28274,2.48,1.88
05.11.2012 00:04:09.956,1.28279,1.28274,1.62,1.13
05.11.2012 00:04:10.196,1.28276,1.28269,1.73,1.50
05.11.2012 00:04:10.435,1.28277,1.28269,1.73,2.25
05.11.2012 00:04:10.735,1.28276,1.28268,2.48,1.73
05.11.2012 00:04:10.795,1.28276,1.28268,2.48,3.50
05.11.2012 00:04:11.035,1.28275,1.28268,3.45,1.50
05.11.2012 00:04:11.336,1.28274,1.28267,2.48,1.78
05.11.2012 00:04:11.396,1.28272,1.28264,1.73,3.90
05.11.2012 00:04:11.934,1.28272,1.28264,2.48,3.00
05.11.2012 00:04:19.856,1.28273,1.28264,1.73,1.50
05.11.2012 00:04:19.928,1.28275,1.28268,3.23,1.50
05.11.2012 00:04:20.066,1.28275,1.28270,1.73,3.00
05.11.2012 00:04:20.125,1.28275,1.28270,1.73,4.50
05.11.2012 00:04:20.365,1.28278,1.28272,1.50,1.50
05.11.2012 00:04:20.605,1.28280,1.28273,1.88,1.50
05.11.2012 00:04:21.145,1.28279,1.28273,1.50,1.88
05.11.2012 00:04:21.675,1.28281,1.28273,2.25,1.88
05.11.2012 00:04:22.235,1.28282,1.28273,1.73,2.63
05.11.2012 00:04:23.085,1.28282,1.28273,2.48,2.63
05.11.2012 00:04:23.207,1.28281,1.28272,2.25,3.60
05.11.2012 00:04:23.839,1.28281,1.28272,2.25,3.23
05.11.2012 00:04:24.507,1.28278,1.28271,1.50,1.78
05.11.2012 00:04:24.815,1.28278,1.28270,1.50,3.23
05.11.2012 00:04:24.937,1.28279,1.28270,1.73,3.75
05.11.2012 00:04:25.056,1.28281,1.28272,2.48,1.50
05.11.2012 00:04:25.355,1.28281,1.28272,1.50,4.10
05.11.2012 00:04:27.795,1.28281,1.28272,1.50,2.70
05.11.2012 00:04:27.855,1.28280,1.28272,1.50,1.95
05.11.2012 00:04:27.975,1.28278,1.28272,1.50,2.33
05.11.2012 00:04:28.155,1.28275,1.28268,1.50,2.48
05.11.2012 00:04:28.275,1.28275,1.28268,1.73,3.00
05.11.2012 00:04:28.456,1.28275,1.28268,1.73,1.50
05.11.2012 00:04:28.515,1.28273,1.28266,1.50,2.48
05.11.2012 00:04:29.054,1.28272,1.28265,1.73,1.03
05.11.2012 00:04:32.755,1.28271,1.28264,1.50,1.50
05.11.2012 00:04:38.995,1.28271,1.28264,1.50,1.50
05.11.2012 00:04:39.547,1.28269,1.28263,1.50,1.03
05.11.2012 00:04:39.855,1.28269,1.28262,2.48,1.13
05.11.2012 00:04:42.304,1.28270,1.28262,1.73,1.13
05.11.2012 00:04:45.007,1.28269,1.28261,2.48,3.50
05.11.2012 00:04:45.365,1.28269,1.28261,1.58,1.73
05.11.2012 00:04:45.545,1.28269,1.28262,1.73,1.50
05.11.2012 00:04:45.615,1.28270,1.28262,1.73,2.25
05.11.2012 00:04:45.916,1.28273,1.28264,4.20,1.50
05.11.2012 00:04:45.976,1.28273,1.28264,3.45,2.25
05.11.2012 00:04:54.785,1.28272,1.28264,2.48,2.25
05.11.2012 00:04:59.121,1.28270,1.28264,2.40,1.50
05.11.2012 00:04:59.545,1.28269,1.28261,1.73,1.35
05.11.2012 00:04:59.724,1.28269,1.28260,2.48,3.13
05.11.2012 00:05:00.436,1.28269,1.28261,2.48,1.35
05.11.2012 00:05:00.741,1.28273,1.28264,2.48,2.25
05.11.2012 00:05:00.806,1.28273,1.28264,2.48,3.00
05.11.2012 00:05:21.295,1.28273,1.28265,2.48,1.50
05.11.2012 00:05:30.775,1.28273,1.28265,2.48,1.50
05.11.2012 00:05:32.855,1.28273,1.28265,2.48,1.50
05.11.2012 00:05:33.775,1.28273,1.28265,2.48,1.50
05.11.2012 00:05:37.396,1.28273,1.28266,1.73,1.50
05.11.2012 00:05:38.267,1.28273,1.28265,1.73,2.25
05.11.2012 00:05:39.084,1.28273,1.28266,1.73,1.50
05.11.2012 00:05:39.444,1.28273,1.28265,1.73,1.50
05.11.2012 00:05:50.606,1.28271,1.28264,1.73,1.13
05.11.2012 00:05:51.164,1.28270,1.28264,1.73,1.13
05.11.2012 00:05:51.616,1.28270,1.28263,1.73,1.13
05.11.2012 00:05:51.977,1.28266,1.28255,8.18,3.00
05.11.2012 00:05:52.477,1.28262,1.28255,3.42,1.50
05.11.2012 00:05:53.017,1.28260,1.28255,1.73,2.25
05.11.2012 00:05:58.349,1.28258,1.28252,2.25,2.25
05.11.2012 00:05:58.736,1.28256,1.28248,2.59,1.25
05.11.2012 00:05:58.796,1.28254,1.28249,1.73,3.75
05.11.2012 00:05:59.391,1.28251,1.28246,1.84,3.75
05.11.2012 00:06:00.758,1.28249,1.28242,1.73,2.85
05.11.2012 00:06:06.254,1.28249,1.28240,2.48,2.48
05.11.2012 00:06:06.814,1.28248,1.28239,2.25,1.73
05.11.2012 00:06:11.586,1.28246,1.28238,2.25,4.10
05.11.2012 00:06:12.065,1.28244,1.28238,1.50,2.60
05.11.2012 00:06:12.605,1.28243,1.28237,2.25,1.10
05.11.2012 00:06:12.724,1.28242,1.28234,1.50,1.29
05.11.2012 00:06:13.265,1.28240,1.28233,1.50,2.60
05.11.2012 00:06:13.332,1.28240,1.28233,1.50,1.25
05.11.2012 00:06:13.868,1.28241,1.28233,1.73,1.25
05.11.2012 00:06:14.115,1.28238,1.28227,1.50,1.25
05.11.2012 00:06:18.394,1.28238,1.28231,1.50,3.35
05.11.2012 00:06:29.057,1.28234,1.28228,1.09,1.73
05.11.2012 00:06:29.189,1.28234,1.28222,1.62,3.35
05.11.2012 00:06:29.256,1.28233,1.28224,1.73,2.10
05.11.2012 00:06:29.794,1.28234,1.28224,1.13,1.50
05.11.2012 00:06:31.064,1.28233,1.28224,1.73,1.50
05.11.2012 00:06:31.665,1.28234,1.28226,1.88,1.50
05.11.2012 00:06:32.213,1.28234,1.28226,1.50,1.50
05.11.2012 00:06:32.545,1.28236,1.28230,1.73,1.50
05.11.2012 00:06:32.785,1.28238,1.28231,1.50,2.10
05.11.2012 00:06:32.965,1.28239,1.28235,1.50,2.10
05.11.2012 00:06:33.085,1.28241,1.28235,1.73,2.10
